shipment_id,carrier,weather,shipment_value,warehouse_load_pct,traffic_density,planned_arrival,current_delay_minutes,is_delayed,event_type,last_checkpoint,distance_to_go_km,shipment_priority
SH-70358813,Delhivery,Clear,9660,74,0.56,2026-02-24 12:22:40,2,0,Routine,East Jeremiahport Hub,308,Low
yV-63653459,BlueDart,Clear,2368,85,0.25,2026-02-22 05:41:38,10,0,Routine,East Shannon Hub,382,Medium
Nk-15609761,Delhivery,Clear,10867,60,0.49,2026-02-28 01:16:52,7,0,Routine,South Christianland Hub,447,Medium
Fu-23710609,BlueDart,Cyclone,2885,52,0.73,2026-02-24 12:49:42,621,1,Natural Disaster,New Garyberg Hub,275,Medium
FS-70376639,Swift,Clear,6821,75,0.55,2026-02-26 22:42:59,12,0,Routine,Jessicaton Hub,260,High
nO-29798607,Swift,Heavy Rain,8182,30,0.52,2026-02-21 14:06:14,14,0,Routine,East Victoria Hub,445,Medium
eO-93829315,Delhivery,Fog,1878,88,0.54,2026-02-24 16:07:11,82,1,Operational Bottleneck,Smithport Hub,420,High
au-43198179,Delhivery,Fog,10987,68,0.97,2026-03-02 02:56:18,4,0,Routine,Derrickfurt Hub,494,Low
uL-72743989,Delhivery,Heavy Rain,4344,95,0.2,2026-02-17 18:11:11,13,0,Routine,Austinside Hub,209,Medium
mH-35403756,Delhivery,Fog,3826,85,0.79,2026-02-08 20:17:15,15,0,Routine,Currybury Hub,189,Medium
fd-48754454,BlueDart,Clear,584,93,0.36,2026-02-18 15:06:00,2,0,Routine,West Josephstad Hub,193,Medium
DB-78437735,Delhivery,Clear,14468,78,0.56,2026-02-19 06:02:49,0,0,Routine,Brandtfurt Hub,464,High
jw-41329555,Delhivery,Clear,2401,95,0.14,2026-02-28 21:04:41,3,0,Routine,South Melissatown Hub,498,Medium
WQ-10858921,BlueDart,Clear,6411,74,0.93,2026-03-05 22:32:15,14,0,Routine,Port Josephfort Hub,278,Low
JV-54734807,Delhivery,Clear,3273,88,0.72,2026-03-04 02:56:08,13,0,Routine,Paigeview Hub,144,High
As-62748154,Delhivery,Fog,3259,88,0.72,2026-02-18 15:28:35,52,1,Operational Bottleneck,Lake Courtney Hub,246,Low
ci-60746255,Delhivery,Clear,8934,93,0.59,2026-03-08 02:48:21,6,0,Routine,East Johnberg Hub,280,Low
IE-42805059,BlueDart,Clear,13678,96,0.62,2026-02-07 11:45:06,59,1,Operational Bottleneck,North Jessica Hub,212,Low
os-02803551,Delhivery,Fog,11494,45,0.31,2026-03-06 07:15:30,12,0,Routine,Phyllisborough Hub,207,Medium
el-14326416,Delhivery,Clear,14552,63,0.34,2026-02-22 23:59:54,13,0,Routine,West Lauraview Hub,231,Medium
cQ-93824453,Swift,Clear,3679,84,0.4,2026-03-08 15:07:19,15,0,Routine,Foxfurt Hub,289,Medium
nq-18574043,BlueDart,Heavy Rain,723,72,0.56,2026-02-08 01:12:30,130,1,Operational Bottleneck,Cunninghambury Hub,361,Medium
xT-17359067,BlueDart,Clear,8722,48,0.66,2026-03-02 17:10:25,4,0,Routine,New Derrickmouth Hub,424,Medium
TE-75608532,Delhivery,Cyclone,11199,52,0.12,2026-02-21 06:37:35,446,1,Natural Disaster,Allisonberg Hub,355,Medium
Mr-94529513,BlueDart,Clear,8103,72,0.26,2026-02-20 21:28:34,12,0,Routine,South Joyceshire Hub,403,High
QU-21906798,Swift,Heavy Rain,7100,92,0.59,2026-02-07 00:51:54,15,0,Routine,Reyesmouth Hub,324,Low
DM-54374595,Swift,Fog,14757,41,0.14,2026-02-24 11:54:44,10,0,Routine,Callahanborough Hub,219,Medium
Vj-08890760,BlueDart,Heavy Rain,14505,55,0.88,2026-03-03 14:06:52,134,1,Operational Bottleneck,Youngstad Hub,431,High
OD-86156394,Delhivery,Cyclone,1945,45,0.48,2026-02-17 09:13:46,15,0,Routine,New Josephtown Hub,257,High
sp-04483430,Delhivery,Fog,983,62,0.94,2026-02-08 08:43:55,10,0,Routine,South Cody Hub,10,Low
QF-28961002,Swift,Heavy Rain,13480,89,0.75,2026-03-01 07:11:57,49,1,Operational Bottleneck,East Heidiview Hub,454,Low
gk-10789232,BlueDart,Clear,6728,58,0.8,2026-02-16 15:46:14,7,0,Routine,Robertborough Hub,84,High
kZ-66669232,Delhivery,Heavy Rain,7850,76,0.7,2026-02-19 23:17:20,1,0,Routine,North Calvin Hub,378,High
gx-56218373,Swift,Fog,10855,39,0.18,2026-02-14 01:23:46,4,0,Routine,Davidchester Hub,384,High
yN-28585253,Delhivery,Cyclone,8835,52,0.69,2026-02-16 17:30:33,2,0,Routine,Cynthiamouth Hub,254,Medium
sX-03548699,BlueDart,Clear,12951,54,0.95,2026-02-11 16:37:18,3,0,Routine,East Mark Hub,419,Low
nY-01463753,Swift,Clear,7314,34,0.75,2026-02-10 02:02:26,14,0,Routine,Johnville Hub,495,Medium
Mt-65216437,BlueDart,Cyclone,12522,47,0.69,2026-03-08 07:34:54,586,1,Natural Disaster,Danielport Hub,97,High
qd-38686973,Swift,Clear,5712,52,0.3,2026-03-05 11:50:37,6,0,Routine,Port Elijahhaven Hub,236,High
ef-84640342,Swift,Clear,626,53,0.72,2026-03-06 03:43:05,6,0,Routine,Jenniferberg Hub,71,Low
CM-89385160,Delhivery,Clear,5271,53,0.13,2026-03-04 12:49:07,6,0,Routine,West Jennifer Hub,121,Medium
My-47629770,Swift,Clear,10529,59,0.42,2026-03-01 00:58:22,2,0,Routine,New Lorifort Hub,75,Low
tj-88154502,Delhivery,Heavy Rain,13715,51,0.77,2026-03-02 17:01:00,15,0,Routine,Michaelmouth Hub,35,High
yo-90961908,Swift,Clear,6603,82,0.75,2026-02-14 06:48:24,14,0,Routine,East Cynthia Hub,91,Low
Zv-33934370,Delhivery,Clear,5168,56,0.88,2026-03-05 09:00:17,14,0,Routine,East Bettyville Hub,92,Low
Ml-76786983,BlueDart,Heavy Rain,1001,78,0.93,2026-03-02 14:17:50,127,1,Operational Bottleneck,Newtonborough Hub,481,High
av-05306827,Swift,Heavy Rain,3050,83,0.6,2026-02-19 02:03:27,11,0,Routine,Williamchester Hub,319,High
Sx-77477655,BlueDart,Heavy Rain,3196,47,0.34,2026-02-10 22:06:27,1,0,Routine,New Sarachester Hub,306,High
