shipment_id,carrier,weather,shipment_value,warehouse_load_pct,traffic_density,planned_arrival,current_delay_minutes,is_delayed,event_type,last_checkpoint,distance_to_go_km,shipment_priority
oB-56947942,Swift,Clear,1809,87,0.98,2026-03-09 06:29:47.054008,99,1,Operational Bottleneck,East Amandashire Hub,22,High
Pb-89346154,BlueDart,Clear,600,49,0.45,2026-03-09 00:29:47.054008,9,0,Routine,South Daniel Hub,327,Medium
nl-11821062,Swift,Clear,11453,85,0.2,2026-03-08 01:29:47.055031,60,1,Operational Bottleneck,Lake Roy Hub,385,High
ko-27943858,Swift,Fog,12340,64,0.22,2026-03-08 23:29:47.055031,14,0,Routine,Coxtown Hub,14,Medium
dx-31203927,Delhivery,Clear,11562,52,0.75,2026-03-09 10:29:47.055031,15,0,Routine,North Jack Hub,450,Medium
Ya-71592782,Delhivery,Fog,5567,80,0.91,2026-03-08 11:29:47.055031,10,0,Routine,Jasonmouth Hub,29,Medium
sK-07059884,Delhivery,Clear,14909,77,0.41,2026-03-09 09:29:47.055031,14,0,Routine,Jenniferside Hub,299,Low
IG-26083121,Delhivery,Heavy Rain,13946,52,0.12,2026-03-08 16:29:47.055031,8,0,Routine,West Rebeccaberg Hub,146,High
gU-77529619,Swift,Fog,6960,84,0.18,2026-03-09 08:29:47.055031,9,0,Routine,Johnsonland Hub,129,High
jL-94086895,BlueDart,Heavy Rain,10835,36,0.5,2026-03-09 03:29:47.055031,94,1,Operational Bottleneck,Brandonmouth Hub,346,Medium
hf-15884048,Swift,Fog,2692,84,0.4,2026-03-08 03:29:47.055031,7,0,Routine,Davisport Hub,391,High
nq-14359632,BlueDart,Clear,3938,42,0.95,2026-03-08 12:29:47.056029,53,1,Operational Bottleneck,Smithside Hub,384,Medium
OI-98508868,Delhivery,Fog,4453,65,0.84,2026-03-08 02:29:47.056029,14,0,Routine,West Johnburgh Hub,230,Medium
LB-19844757,Swift,Heavy Rain,14775,59,0.23,2026-03-09 16:29:47.056029,10,0,Routine,Jonesmouth Hub,209,High
Zz-73002219,Swift,Cyclone,8652,89,0.49,2026-03-08 17:29:47.056029,620,1,Natural Disaster,Millerbury Hub,28,Low
pi-82566453,BlueDart,Clear,9100,74,0.55,2026-03-09 13:29:47.056029,4,0,Routine,Robertoside Hub,166,High
lA-05880829,Swift,Heavy Rain,593,36,0.86,2026-03-09 08:29:47.056029,4,0,Routine,West Alechaven Hub,160,High
hr-91410291,Delhivery,Fog,12121,73,0.16,2026-03-08 04:29:47.056029,15,0,Routine,Silvaside Hub,456,High
rR-13949746,Swift,Fog,9371,44,0.81,2026-03-09 05:29:47.057031,137,1,Operational Bottleneck,Port Sara Hub,255,Low
CM-87559337,BlueDart,Clear,5890,40,0.39,2026-03-08 04:29:47.057031,7,0,Routine,South Michael Hub,64,Low
kn-46290365,BlueDart,Fog,8849,57,0.28,2026-03-08 20:29:47.057031,1,0,Routine,New Jeffreymouth Hub,22,High
hP-36858795,Swift,Clear,4017,90,0.11,2026-03-08 03:29:47.057031,8,0,Routine,South Samantha Hub,375,Low
Nz-05207912,BlueDart,Heavy Rain,5317,31,0.67,2026-03-08 06:29:47.057031,13,0,Routine,New Cassandraport Hub,154,Low
nT-13083144,Swift,Clear,6032,88,0.84,2026-03-09 13:29:47.058037,72,1,Operational Bottleneck,Mathewsshire Hub,330,High
ei-87779822,Delhivery,Clear,2606,92,0.6,2026-03-09 07:29:47.058037,88,1,Operational Bottleneck,North Ryanstad Hub,183,Low
Jt-46563428,Delhivery,Fog,11521,68,0.96,2026-03-08 20:29:47.058037,5,0,Routine,West Danielborough Hub,495,Low
ov-81627366,BlueDart,Clear,2373,84,0.19,2026-03-09 00:29:47.060018,13,0,Routine,Barrettstad Hub,117,Low
eW-55233304,BlueDart,Clear,6994,60,0.98,2026-03-09 16:29:47.060539,8,0,Routine,Brooksville Hub,158,High
WQ-77749285,BlueDart,Fog,6920,80,0.9,2026-03-09 08:29:47.061618,6,0,Routine,South Amandashire Hub,107,High
Ot-64584415,BlueDart,Clear,5890,62,0.97,2026-03-09 13:29:47.061618,57,1,Operational Bottleneck,Maryside Hub,137,Low
NU-04229500,Swift,Heavy Rain,3526,41,0.67,2026-03-08 09:29:47.061618,1,0,Routine,Lake Renee Hub,427,Medium
rw-17044361,BlueDart,Clear,9624,71,0.92,2026-03-09 00:29:47.062580,13,0,Routine,Port Bernard Hub,347,Medium
oK-24344543,BlueDart,Clear,3567,84,0.88,2026-03-09 11:29:47.062580,7,0,Routine,East Leslie Hub,296,Low
Ae-00713672,BlueDart,Clear,12086,40,0.93,2026-03-09 12:29:47.062580,6,0,Routine,Amymouth Hub,438,Medium
DT-48337583,BlueDart,Heavy Rain,7303,75,0.77,2026-03-09 00:29:47.063326,77,1,Operational Bottleneck,Rodriguezmouth Hub,86,High
XA-05735285,Delhivery,Fog,14157,42,0.88,2026-03-08 22:29:47.063326,5,0,Routine,New Jennifer Hub,243,High
lS-18796944,Swift,Clear,8585,53,0.5,2026-03-09 17:29:47.063768,5,0,Routine,Port Maria Hub,459,Medium
Mw-81634424,BlueDart,Clear,2275,79,0.98,2026-03-09 13:29:47.063768,11,0,Routine,Porterville Hub,42,High
wJ-07278084,Delhivery,Clear,12956,58,0.59,2026-03-09 00:29:47.063768,75,1,Operational Bottleneck,New Thomasberg Hub,299,High
Yh-06798730,BlueDart,Fog,11392,89,0.46,2026-03-09 16:29:47.063768,4,0,Routine,Christinebury Hub,99,Medium
Ir-01030335,Swift,Clear,6035,72,0.97,2026-03-09 09:29:47.063768,13,0,Routine,Bartlettfort Hub,316,High
xO-47869726,Delhivery,Clear,3848,85,0.93,2026-03-08 16:29:47.065016,7,0,Routine,Lake Marissa Hub,140,Low
wx-32879912,Swift,Clear,9719,91,0.46,2026-03-09 05:29:47.065016,7,0,Routine,Colinmouth Hub,134,High
bh-13654036,Delhivery,Clear,7712,91,0.89,2026-03-08 17:29:47.065016,3,0,Routine,West Marytown Hub,483,Medium
gj-23070819,Swift,Clear,6382,47,0.19,2026-03-08 12:29:47.065016,13,0,Routine,Swansonside Hub,387,Medium
AJ-76565297,Delhivery,Clear,13289,51,0.69,2026-03-08 23:29:47.065016,2,0,Routine,West Cynthiaton Hub,204,Medium
eO-16234147,BlueDart,Clear,6534,60,0.95,2026-03-09 17:29:47.065016,178,1,Operational Bottleneck,New Charlotte Hub,430,Medium
Hp-49815268,BlueDart,Clear,6958,100,0.17,2026-03-09 09:29:47.065016,47,1,Operational Bottleneck,Conradstad Hub,233,Low
JT-80536048,BlueDart,Cyclone,6510,93,0.14,2026-03-08 08:29:47.065016,655,1,Natural Disaster,New Jasonfort Hub,14,Low
dn-89370845,Delhivery,Fog,4712,94,0.64,2026-03-08 01:29:47.065016,101,1,Operational Bottleneck,Anthonyville Hub,41,Medium
np-25601487,Swift,Cyclone,8874,55,0.66,2026-03-08 03:29:47.066190,401,1,Natural Disaster,New Jenniferstad Hub,119,Medium
Pd-85720648,BlueDart,Clear,1867,32,0.72,2026-03-08 05:29:47.066190,13,0,Routine,New Aaronberg Hub,357,High
xF-51359953,BlueDart,Cyclone,9204,35,0.66,2026-03-08 00:29:47.066190,502,1,Natural Disaster,Cassandraview Hub,455,Low
UB-59265682,BlueDart,Clear,8027,84,0.43,2026-03-08 04:29:47.066190,0,0,Routine,Port Melissa Hub,65,Low
Sk-70397112,Delhivery,Heavy Rain,5691,72,0.16,2026-03-08 14:29:47.066190,8,0,Routine,New Christopher Hub,198,Low
dM-84370208,BlueDart,Clear,6547,43,0.6,2026-03-09 04:29:47.066190,4,0,Routine,Lake Emilyburgh Hub,167,Medium
ch-83340545,Swift,Cyclone,7249,58,0.36,2026-03-09 02:29:47.066190,400,1,Natural Disaster,Port Adamstad Hub,263,High
uQ-69703677,Delhivery,Clear,11793,74,0.33,2026-03-08 19:29:47.066190,2,0,Routine,Samanthahaven Hub,233,Medium
cQ-69273458,Swift,Fog,11509,85,0.78,2026-03-09 07:29:47.066190,0,0,Routine,West Theresa Hub,224,High
SX-45707427,BlueDart,Fog,1617,79,0.51,2026-03-09 12:29:47.067191,6,0,Routine,Deanstad Hub,268,High
DJ-10609010,Delhivery,Clear,14085,98,0.84,2026-03-08 10:29:47.067191,151,1,Operational Bottleneck,Oneilltown Hub,386,Medium
LD-13715013,Delhivery,Clear,2033,58,0.52,2026-03-09 00:29:47.067191,1,0,Routine,Port Elizabeth Hub,103,High
mq-43686795,Delhivery,Fog,1338,80,0.48,2026-03-08 19:29:47.067191,2,0,Routine,Thomaschester Hub,155,High
Do-61972675,BlueDart,Clear,2554,38,0.23,2026-03-08 12:29:47.067191,4,0,Routine,New Peggystad Hub,297,Low
AT-90235607,Delhivery,Clear,10809,99,0.87,2026-03-09 17:29:47.067191,59,1,Operational Bottleneck,West Andreaton Hub,352,Low
Km-16096055,BlueDart,Clear,14019,55,0.47,2026-03-09 15:29:47.067191,1,0,Routine,East Rebecca Hub,445,Medium
aT-05538280,Delhivery,Clear,9289,58,0.52,2026-03-09 14:29:47.067191,13,0,Routine,New Christian Hub,279,High
ky-52440947,Swift,Clear,2829,64,0.36,2026-03-09 01:29:47.067191,10,0,Routine,Peterchester Hub,470,Low
Dl-60288920,Swift,Fog,14368,64,0.22,2026-03-08 13:29:47.068184,6,0,Routine,Allisonfort Hub,189,High
sJ-20019444,BlueDart,Clear,4706,92,0.42,2026-03-08 00:29:47.068184,14,0,Routine,Burgessshire Hub,22,Medium
xb-59135795,Delhivery,Heavy Rain,13277,80,0.14,2026-03-08 13:29:47.068184,10,0,Routine,Annville Hub,222,Low
pR-33916490,Delhivery,Clear,12824,97,0.34,2026-03-09 01:29:47.068184,4,0,Routine,Baileybury Hub,228,Medium
In-00725840,Swift,Cyclone,13619,71,0.82,2026-03-08 03:29:47.068184,473,1,Natural Disaster,Weberhaven Hub,464,Medium
wJ-33868138,BlueDart,Heavy Rain,11982,78,0.95,2026-03-09 11:29:47.068184,3,0,Routine,Josephmouth Hub,421,High
Km-49581752,Delhivery,Fog,9101,74,0.35,2026-03-09 08:29:47.068184,11,0,Routine,Flowersmouth Hub,27,Low
un-11237549,Swift,Fog,9251,40,0.51,2026-03-09 09:29:47.068184,11,0,Routine,Mitchellchester Hub,440,High
Gk-96393004,Swift,Clear,2318,97,0.49,2026-03-08 08:29:47.068184,2,0,Routine,Josephchester Hub,471,High
px-56901385,Delhivery,Clear,9561,52,0.83,2026-03-09 13:29:47.068184,9,0,Routine,Lake Michelle Hub,307,High
Kl-93554999,Delhivery,Clear,14737,76,0.93,2026-03-09 07:29:47.068184,5,0,Routine,Rodriguezmouth Hub,196,Low
ii-50043496,Swift,Clear,7265,36,0.12,2026-03-09 17:29:47.068184,14,0,Routine,Johnsonhaven Hub,359,Low
Rk-22156193,Swift,Clear,6583,52,0.93,2026-03-08 11:29:47.068184,84,1,Operational Bottleneck,New Jennifer Hub,469,High
qo-05023287,Delhivery,Clear,7721,68,0.94,2026-03-08 16:29:47.068184,12,0,Routine,Raymondborough Hub,389,Medium
BK-70058937,Swift,Clear,5035,51,0.46,2026-03-08 22:29:47.069704,168,1,Operational Bottleneck,New Brianchester Hub,285,Low
sr-73546133,Delhivery,Cyclone,8615,80,0.54,2026-03-09 07:29:47.069704,5,0,Routine,Lewisbury Hub,158,Low
lq-13298660,BlueDart,Fog,5070,39,0.64,2026-03-08 12:29:47.069704,1,0,Routine,North Perry Hub,483,Medium
xV-16296048,BlueDart,Heavy Rain,2279,93,0.33,2026-03-08 02:29:47.069704,90,1,Operational Bottleneck,Mitchellfort Hub,340,High
Ll-58818230,Swift,Clear,902,99,0.89,2026-03-08 21:29:47.069704,3,0,Routine,Davistown Hub,265,Medium
nx-13389076,BlueDart,Clear,7019,73,0.55,2026-03-08 02:29:47.069704,9,0,Routine,Laurieton Hub,142,Medium
iT-60921984,Swift,Heavy Rain,6370,70,0.78,2026-03-09 04:29:47.069704,7,0,Routine,South Victoria Hub,465,Medium
aR-54323697,BlueDart,Cyclone,5352,47,0.27,2026-03-08 07:29:47.069704,0,0,Routine,West Walter Hub,93,Medium
tP-76700142,Delhivery,Clear,552,38,0.77,2026-03-09 11:29:47.069704,8,0,Routine,Brandonview Hub,484,Low
mB-47675524,BlueDart,Clear,10809,93,0.59,2026-03-08 09:29:47.069704,5,0,Routine,Brandonberg Hub,402,High
