shipment_id,carrier,weather,shipment_value,warehouse_load_pct,traffic_density,planned_arrival,last_checkpoint,distance_to_go_km,shipment_priority
MY-87254221,BlueDart,Clear,9409,100,0.25,2026-03-09 11:42:12.556357,New Brandichester Hub,220,High
am-86301020,BlueDart,Cyclone,8301,67,0.17,2026-03-08 09:42:12.556357,Karenchester Hub,354,Low
Sa-85905834,Swift,Clear,9371,88,0.98,2026-03-09 03:42:12.556357,Davisport Hub,259,Medium
EX-57532700,Delhivery,Fog,1395,94,0.33,2026-03-09 18:42:12.556357,Nicolasland Hub,457,Medium
Sa-74553568,BlueDart,Clear,7653,85,0.34,2026-03-09 15:42:12.556357,Port Keithborough Hub,165,Low
DQ-58379291,BlueDart,Clear,11806,30,0.92,2026-03-08 06:42:12.556357,New Christinaside Hub,56,High
ha-42334868,BlueDart,Fog,2031,50,0.23,2026-03-08 02:42:12.556357,Rayfort Hub,384,Low
nq-67047842,BlueDart,Heavy Rain,7473,98,0.96,2026-03-08 18:42:12.556357,Frankbury Hub,190,Medium
ab-48197409,Swift,Fog,8817,71,0.9,2026-03-09 21:42:12.556357,Lake Kevinbury Hub,151,Low
Ez-86702425,Swift,Clear,11848,88,0.1,2026-03-09 17:42:12.556357,Troyfort Hub,13,High
vV-13704879,Swift,Fog,9302,75,0.44,2026-03-08 01:42:12.556357,New Joshua Hub,457,Medium
Ry-27792130,Delhivery,Fog,13434,79,0.13,2026-03-09 01:42:12.556357,East Emilytown Hub,217,Low
pu-15041726,Delhivery,Clear,1045,71,0.19,2026-03-09 03:42:12.556357,Smithtown Hub,218,Low
sm-25691078,BlueDart,Heavy Rain,3965,97,0.14,2026-03-09 06:42:12.556357,Lake Jeffreyshire Hub,406,Low
aF-04264702,Delhivery,Clear,10269,68,0.75,2026-03-09 03:42:12.556357,West Melissa Hub,268,High
Mi-94056894,BlueDart,Clear,8092,47,0.31,2026-03-08 11:42:12.561000,Lake Williamport Hub,262,Low
GH-09918794,Swift,Clear,10407,86,0.38,2026-03-08 09:42:12.561000,Ryanside Hub,481,Medium
kn-76280706,BlueDart,Clear,4645,41,0.18,2026-03-08 18:42:12.561000,Susanstad Hub,414,Medium
hM-85333838,Swift,Clear,770,33,0.31,2026-03-08 05:42:12.561000,South Jessica Hub,429,Medium
FL-25640435,Swift,Clear,5834,47,0.33,2026-03-08 09:42:12.561000,South Mirandachester Hub,253,High
Vt-85166559,Swift,Clear,13280,68,0.78,2026-03-08 06:42:12.561000,Torresborough Hub,277,Medium
Hb-73137187,BlueDart,Clear,5519,31,0.87,2026-03-09 00:42:12.561000,Rogersland Hub,292,High
CY-63895374,BlueDart,Heavy Rain,14213,91,0.77,2026-03-09 03:42:12.561000,Andreafurt Hub,337,Low
Og-02097784,Delhivery,Clear,12785,51,0.61,2026-03-09 00:42:12.561000,Lake Brittanyhaven Hub,277,Medium
Yw-26735946,Swift,Clear,3426,38,0.52,2026-03-08 12:42:12.563105,Haroldmouth Hub,91,Medium
Mz-95574277,BlueDart,Heavy Rain,12918,95,0.85,2026-03-08 02:42:12.563105,East Emilyside Hub,213,Low
fN-59373092,Delhivery,Clear,879,88,0.21,2026-03-09 05:42:12.563105,Aprilshire Hub,354,High
uk-47556138,Delhivery,Clear,7082,81,0.63,2026-03-09 10:42:12.563105,Woodtown Hub,379,Medium
nP-20441118,Swift,Clear,4574,65,0.34,2026-03-09 20:42:12.563105,Olsonchester Hub,29,Medium
zx-34881552,Delhivery,Clear,9868,87,0.53,2026-03-08 02:42:12.563105,South Markburgh Hub,149,Medium
Ti-55859662,Swift,Clear,7621,66,0.99,2026-03-08 22:42:12.563105,East Justinburgh Hub,406,High
dM-39432487,BlueDart,Clear,8238,92,0.96,2026-03-09 18:42:12.563105,Penahaven Hub,99,Low
sU-59638083,BlueDart,Cyclone,11159,87,0.4,2026-03-09 15:42:12.563105,West Amy Hub,426,High
Df-24639825,BlueDart,Heavy Rain,4231,74,0.17,2026-03-08 12:42:12.564858,North Courtneybury Hub,462,Low
WW-86193647,BlueDart,Clear,7870,86,0.17,2026-03-08 20:42:12.564858,Lake George Hub,136,Medium
kR-52280260,Delhivery,Clear,1973,34,0.48,2026-03-09 12:42:12.564858,Cheryltown Hub,65,High
bt-02426243,BlueDart,Heavy Rain,8265,69,0.72,2026-03-08 06:42:12.564858,New Jean Hub,299,Medium
lU-85712071,Swift,Fog,2099,54,0.49,2026-03-09 09:42:12.564858,Howellfort Hub,449,Low
ui-84760077,BlueDart,Heavy Rain,14739,36,0.51,2026-03-09 19:42:12.564858,Shannonstad Hub,335,High
vB-16173067,BlueDart,Fog,8070,37,0.2,2026-03-08 01:42:12.564858,Port Carrie Hub,475,Medium
lg-28117360,Delhivery,Fog,743,72,0.23,2026-03-08 18:42:12.564858,Jacquelineside Hub,207,Medium
HN-28745776,Delhivery,Clear,2551,40,0.63,2026-03-08 13:42:12.564858,Danielsfurt Hub,472,High
iI-50990387,Swift,Fog,2634,53,0.21,2026-03-08 02:42:12.564858,Christineborough Hub,42,Medium
pl-40924200,Delhivery,Heavy Rain,8843,36,0.31,2026-03-08 01:42:12.564858,New Billymouth Hub,166,Medium
wi-74351236,Delhivery,Clear,12752,81,0.77,2026-03-08 09:42:12.564858,North Tyler Hub,98,Low
vU-04229547,BlueDart,Clear,14906,94,0.59,2026-03-08 13:42:12.564858,East Bradleystad Hub,456,Low
NR-56956491,Swift,Heavy Rain,4415,99,0.32,2026-03-08 20:42:12.564858,Baxterstad Hub,195,Medium
Ir-48620121,Delhivery,Heavy Rain,7503,78,0.2,2026-03-09 15:42:12.564858,Jadebury Hub,123,Low
